,rstring,convtime,visited,bestfit,bestrule
60,251260,30,2500,0.9556213017751479,<lifelike.Rulestring.Rulestring object at 0x7f5b323c7130>
61,64955,30,2500,0.9940828402366864,<lifelike.Rulestring.Rulestring object at 0x7f5b323a5ca0>
62,173557,30,2500,0.9556213017751479,<lifelike.Rulestring.Rulestring object at 0x7f5b323824c0>
63,138367,30,2500,0.9577345731191885,<lifelike.Rulestring.Rulestring object at 0x7f5b32443400>
64,113935,30,2500,0.992603550295858,<lifelike.Rulestring.Rulestring object at 0x7f5b323a5460>
65,231228,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b32424ca0>
66,153575,30,2500,0.9556213017751479,<lifelike.Rulestring.Rulestring object at 0x7f5b32425f70>
67,196094,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b323e65b0>
68,237460,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b32382ee0>
69,175055,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b324244f0>
70,29033,30,2500,0.9933431952662722,<lifelike.Rulestring.Rulestring object at 0x7f5b32340d60>
71,143871,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b3229e1f0>
72,48830,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239e2b0>
73,38653,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cd00>
74,51987,30,2500,0.9911242603550295,<lifelike.Rulestring.Rulestring object at 0x7f5b32444130>
75,131029,30,2500,0.9933431952662722,<lifelike.Rulestring.Rulestring object at 0x7f5b323a91c0>
76,235511,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b323e67f0>
77,188399,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b32448730>
78,261618,30,2500,0.9519230769230769,<lifelike.Rulestring.Rulestring object at 0x7f5b323e6ca0>
79,122845,30,2500,0.992603550295858,<lifelike.Rulestring.Rulestring object at 0x7f5b323c6730>
80,208379,30,2500,0.9563609467455622,<lifelike.Rulestring.Rulestring object at 0x7f5b32306850>
81,238591,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b324a4a00>
82,196574,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b323e6fd0>
83,257534,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cee0>
84,245759,30,2500,0.9792899408284024,<lifelike.Rulestring.Rulestring object at 0x7f5b323e6e80>
85,261847,30,2500,0.9671268902038133,<lifelike.Rulestring.Rulestring object at 0x7f5b324487c0>
86,245759,30,2500,0.9501267962806424,<lifelike.Rulestring.Rulestring object at 0x7f5b323c78b0>
87,262015,30,2500,0.9733727810650887,<lifelike.Rulestring.Rulestring object at 0x7f5b323a5610>
88,261887,30,2500,0.9923922231614539,<lifelike.Rulestring.Rulestring object at 0x7f5b323e4ac0>
89,262140,30,2500,0.9467455621301775,<lifelike.Rulestring.Rulestring object at 0x7f5b324486a0>
90,249343,30,2500,0.9563609467455622,<lifelike.Rulestring.Rulestring object at 0x7f5b32306100>
91,131071,0,100,"[0.67455621 0.53964497 0.882643   0.63609467 0.44260355 0.4816568
 0.73865878 0.28571429 0.32071006 0.54832347 0.47238659 0.11597633
 0.88757396 0.8591716  0.24654832 0.5964497  0.382643   0.63786982
 0.92406312 0.1112426  0.03195266 0.81360947 0.49704142 0.82544379
 0.69940828 0.77712032 0.29349112 0.9408284  0.52781065 0.21420118
 0.65325444 0.21597633 0.70650888 0.86982249 0.15857988 0.95069034
 0.10887574 0.25325444 0.62943787 0.21597633 0.65207101 0.92071006
 0.61439842 0.32426036 0.92645816 0.9147929  0.24063116 0.23964497
 0.75739645 0.37024514 0.17514793 0.88954635 0.16213018 0.81183432
 0.50295858 0.0591716  0.27021696 0.         0.66863905 0.16331361
 0.39349112 0.41065089 0.13017751 0.51873767 0.27928994 0.46272189
 0.3408284  0.9408284  0.49940828 0.95621302 0.29230769 0.55976331
 0.27218935 0.75542406 0.15147929 0.0591716  0.50493097 0.27692308
 0.2556213  0.78579882 0.53727811 0.52268245 0.9408284  0.62975486
 0.37968442 0.45167653 0.44280079 0.0591716  0.64891519 0.4556213
 0.79289941 0.46863905 0.95773457 0.4260355  0.0591716  0.70118343
 0.67455621 0.60591716 1.         0.40152156]",<lifelike.Rulestring.Rulestring object at 0x7f5b323444c0>
92,241655,30,2500,0.9563609467455622,<lifelike.Rulestring.Rulestring object at 0x7f5b323a5100>
93,229375,30,2500,0.9526627218934911,<lifelike.Rulestring.Rulestring object at 0x7f5b323c7a90>
94,258043,30,2500,0.9585798816568047,<lifelike.Rulestring.Rulestring object at 0x7f5b3231c190>
95,130815,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bfac0>
96,228315,30,2500,0.9563609467455622,<lifelike.Rulestring.Rulestring object at 0x7f5b323e6940>
97,196347,30,2500,0.9630177514792899,<lifelike.Rulestring.Rulestring object at 0x7f5b3231c610>
98,262143,0,100,"[0.32899408 0.94556213 0.2495069  0.33333333 0.38106509 0.40710059
 0.15581854 0.12899408 0.3964497  0.51005917 0.76094675 0.88757396
 0.91321499 0.26272189 0.4122288  0.29467456 0.42504931 1.
 0.0556213  0.38038884 0.26627219 0.82721893 0.32938856 0.
 0.46508876 0.         0.         0.20236686 0.06982249 0.07218935
 0.         0.21499014 0.15384615 0.93786982 0.5806213  0.
 0.55739645 0.2816568  0.5877712  0.15029586 0.54201183 0.26272189
 0.73710904 0.51873767 0.38377008 0.46627219 0.2035503  0.75029586
 0.03195266 0.37514793 0.34714004 0.84023669 0.35897436 0.83313609
 0.16094675 0.3739645  0.35502959 0.15976331 0.09270217 0.07928994
 1.         0.37278107 0.16094675 0.19625247 0.10532544 0.40828402
 0.35080304 0.78816568 0.54068047 0.54043393 0.57495069 0.71153846
 0.77613412 0.07100592 1.         0.15088757 0.12899408 0.0989011
 0.60059172 0.94792899 0.45167653 0.7739645  0.19408284 0.70650888
 0.33846154 0.79526627 0.5147929  0.41893491 0.58343195 0.90194421
 0.27472527 0.81656805 0.         0.94230769 0.44294167 0.27120316
 0.         0.02011834 0.21724429 0.36686391]",<lifelike.Rulestring.Rulestring object at 0x7f5b323a5f70>
99,262127,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b323e6430>
