,rstring,convtime,visited,bestfit,bestrule
23,82451,6,580,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bb070>
24,2598,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bc1f0>
25,8625,30,2500,0.9927679158448389,<lifelike.Rulestring.Rulestring object at 0x7f5b3242dcd0>
26,2062,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323190d0>
27,64,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bb280>
28,17124,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bd9d0>
29,22945,30,2500,0.9933431952662722,<lifelike.Rulestring.Rulestring object at 0x7f5b323f2340>
30,55555,30,2500,0.9951586874663798,<lifelike.Rulestring.Rulestring object at 0x7f5b32403160>
31,51266,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324bcb80>
32,84705,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233ac10>
33,17696,30,2500,0.992603550295858,<lifelike.Rulestring.Rulestring object at 0x7f5b324c2ac0>
34,36934,3,340,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239a250>
35,53965,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322fa310>
36,149608,30,2500,0.9658119658119658,<lifelike.Rulestring.Rulestring object at 0x7f5b32322700>
37,148352,30,2500,0.9112426035502958,<lifelike.Rulestring.Rulestring object at 0x7f5b3237bf40>
38,183816,30,2500,0.9607988165680473,<lifelike.Rulestring.Rulestring object at 0x7f5b32340bb0>
39,77200,30,2500,0.992603550295858,<lifelike.Rulestring.Rulestring object at 0x7f5b3236e610>
40,128466,30,2500,0.995069033530572,<lifelike.Rulestring.Rulestring object at 0x7f5b3236efa0>
41,80103,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3239e130>
42,137177,30,2500,0.9511834319526628,<lifelike.Rulestring.Rulestring object at 0x7f5b323c7250>
43,96344,7,660,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322f9850>
44,13189,30,2500,0.9911242603550295,<lifelike.Rulestring.Rulestring object at 0x7f5b323ba910>
45,208450,30,2500,0.9553937187073281,<lifelike.Rulestring.Rulestring object at 0x7f5b3240e970>
46,72404,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b324b7a60>
47,158825,30,2500,0.965034965034965,<lifelike.Rulestring.Rulestring object at 0x7f5b323233a0>
48,33866,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323b8c70>
49,105626,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323b9610>
50,243002,30,2500,0.9669625246548323,<lifelike.Rulestring.Rulestring object at 0x7f5b32444fa0>
51,97862,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b322fab20>
52,66949,30,2500,0.9914529914529915,<lifelike.Rulestring.Rulestring object at 0x7f5b323eef40>
53,43107,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3237ba30>
54,219783,30,2500,0.9811390532544378,<lifelike.Rulestring.Rulestring object at 0x7f5b3240e9d0>
55,207806,30,2500,0.9677245831091985,<lifelike.Rulestring.Rulestring object at 0x7f5b324a49a0>
56,103355,30,2500,0.9951586874663798,<lifelike.Rulestring.Rulestring object at 0x7f5b323e4160>
57,182063,30,2500,0.963905325443787,<lifelike.Rulestring.Rulestring object at 0x7f5b323c31f0>
58,64755,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3231c850>
59,261633,30,2500,0.980276134122288,<lifelike.Rulestring.Rulestring object at 0x7f5b324438e0>
60,251260,30,2500,0.9634211941904249,<lifelike.Rulestring.Rulestring object at 0x7f5b32323d30>
61,64955,30,2500,0.9968673860076575,<lifelike.Rulestring.Rulestring object at 0x7f5b32444250>
62,173557,30,2500,0.9661108122646584,<lifelike.Rulestring.Rulestring object at 0x7f5b32424f10>
63,138367,30,2500,0.9692307692307692,<lifelike.Rulestring.Rulestring object at 0x7f5b323e40d0>
64,113935,30,2500,0.9951586874663798,<lifelike.Rulestring.Rulestring object at 0x7f5b32424250>
65,231228,30,2500,0.9644970414201184,<lifelike.Rulestring.Rulestring object at 0x7f5b323c3580>
66,153575,30,2500,0.965034965034965,<lifelike.Rulestring.Rulestring object at 0x7f5b32403970>
67,196094,30,2500,0.9893491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b32443be0>
68,237460,30,2500,0.9625246548323472,<lifelike.Rulestring.Rulestring object at 0x7f5b323fce20>
69,175055,30,2500,0.9751479289940829,<lifelike.Rulestring.Rulestring object at 0x7f5b324a4eb0>
70,29033,30,2500,0.9951923076923077,<lifelike.Rulestring.Rulestring object at 0x7f5b3234bcd0>
71,143871,30,2500,0.9650887573964497,<lifelike.Rulestring.Rulestring object at 0x7f5b322f8c40>
72,48830,4,420,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3233cb50>
73,38653,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b3231cdc0>
74,51987,30,2500,0.993491124260355,<lifelike.Rulestring.Rulestring object at 0x7f5b32340610>
75,131029,30,2500,0.9953508030431107,<lifelike.Rulestring.Rulestring object at 0x7f5b323c7220>
76,235511,30,2500,0.9767258382642998,<lifelike.Rulestring.Rulestring object at 0x7f5b3237bf10>
77,188399,30,2500,0.9650887573964497,<lifelike.Rulestring.Rulestring object at 0x7f5b323e4e50>
78,261618,30,2500,0.957922419460881,<lifelike.Rulestring.Rulestring object at 0x7f5b32403d00>
79,122845,30,2500,0.996196111580727,<lifelike.Rulestring.Rulestring object at 0x7f5b32424b50>
80,208379,30,2500,0.9674556213017751,<lifelike.Rulestring.Rulestring object at 0x7f5b32424040>
81,238591,30,2500,0.9689349112426036,<lifelike.Rulestring.Rulestring object at 0x7f5b323e3640>
82,196574,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b32403fa0>
83,257534,30,2500,0.9603550295857988,<lifelike.Rulestring.Rulestring object at 0x7f5b323e4c70>
84,245759,30,2500,0.9661108122646584,<lifelike.Rulestring.Rulestring object at 0x7f5b323e4760>
85,261847,30,2500,0.9733727810650887,<lifelike.Rulestring.Rulestring object at 0x7f5b324246a0>
